"group","d1","d2","c"
"A",3.45792771861378,-4.59693776929862,3.84048788544402
"A",5.18218010922994,10.8558829895575,5.86434125602996
"A",7.00774246506266,2.18900959183783,4.7836117907711
"A",5.72533169477334,5.65164515473094,5.33425195725755
"A",5.66040933208554,9.53600975373144,4.33766473032177
"A",4.90748442730241,15.2076449112049,4.63628613847697
"A",5.23970932988189,-0.711856404353844,5.1023682491431
"A",5.47116859090845,7.20759269326853,6.53347814951788
"A",4.60541533244548,6.40672332064684,3.41070608702375
"A",7.9763954305959,10.2441969190022,4.65311636285517
"A",5.38947837862406,6.21412894678708,4.22039072756497
"A",5.14922643550402,17.755945388589,5.63997881800464
"A",5.05228234173422,0.0489332241546139,5.18709852797147
"A",5.33353318097347,10.8911199511192,4.11882028188134
"A",6.99903348720668,-25.4731061090927,6.36563540995017
"A",3.81933050746923,-2.11509150653476,5.65697954893837
"A",5.7511616779233,3.49180915653531,6.95238526264491
"A",4.54079964716474,-1.30997348276262,3.68170532739654
"A",6.1713992943491,17.2969781172236,4.9473964383242
"A",4.94492804014274,6.57355929439769,5.5295183966468
"A",5.20653272235283,4.79358444507155,4.83818631926517
"A",6.17983078356629,5.39190421287376,5.01352454359295
"A",5.81758404540161,27.6672877693385,5.01208626653747
"A",5.81450569316882,-1.36955453627075,4.96857199898222
"A",2.80468864784217,15.0880780869216,6.00019765211031
"A",4.52799138996857,-18.4139753202483,6.58059210935927
"A",4.61492418862581,-9.85098749810723,3.98507196612138
"A",6.90331134396592,20.7728635862163,6.25551803239554
"A",3.9630787282207,-3.1817793129962,4.72519127641335
"A",5.34929241503558,16.8837152914508,4.34352704876617
"A",2.9606320189822,10.1857310085954,7.59008594217673
"A",4.06767860336041,5.76430222600902,4.08741738833944
"A",4.53870450803509,-4.95876810559859,5.31764425054048
"A",4.30720595724642,-3.50884680214972,5.7141318937869
"A",5.59429254218457,6.51014827282689,7.24686623200146
"A",6.29860221091834,7.36734767329009,5.16905560543769
"A",4.05792245083123,2.13308876778605,5.4704011670219
"A",7.03701082189047,17.3813112838228,4.33803420994761
"A",4.21538871140531,-0.583445139544883,6.86027404985479
"A",4.54456235996417,14.2100907933997,5.16255288728992
"A",4.71426290260592,4.64801645710742,3.88807741965506
"A",5.03451120266278,19.2003850298166,4.76655936984803
"A",3.21688082015969,-8.13228912654506,6.09366220742511
"A",5.21743955424657,-2.43119281352374,3.71541382054669
"A",4.30190059927821,-16.6011787833418,4.33672489590207
"A",3.50875718733792,14.1235561851241,4.6977368355907
"A",4.35304015914383,-7.44719592775764,5.69037561806816
"A",6.0275911549054,5.75061317591534,3.57081107979825
